Building,Area,province,Thai_District,District,Thai_Subdistrict,Owner,Construction,Map,Population,Latitude,Longtitude,Impact
Hospital/Healthcare,2256.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,นายเทอดศักดิ์ สุริยภูมิ,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Hospital/Healthcare,6544.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,จํากัด โดย นางสาวศศิธร เพียรธนภาคย์ นางวรีพร ดิสภานุรัตน์,New Build,17,78175,13.776667,100.579444,-4
Hospital/Healthcare,9858.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,โดย นายจุลเดช ยศสุนทรากุล นายศรีภาพ  สารสาส,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Office,76395.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท  วี.73 จำกัด  โดย นางชัชฎา มาลากุล ณ อยุธยา นางสาววีณา ไชยวรรณ,New Build,17,78175,13.776667,100.579444,-5
Office,119445.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,นายอุรุชา มหาดํารงค์กุล  นายองอาจ มหา ดํารงค์กุล,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Office,43.94,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท รุ่งโรจน์ธนกุล จำกัด โดยนายชาติชาย รุ่งโรจน์ธนกุล,New Build,17,78175,13.776667,100.579444,-5
Office,63.52,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,นายขจร เจียรวนนท์ นายสมเกียรติ วิภูษณมังคละ,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Office,2375.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,ทรรศนีย์ ภานุประภา นายคาร์ล ออพเพ,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Office,9.96,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท เค ดี ดี ไอ (ประเทศไทย) จำกัด โดยนายชิเงะโอะ โคไซ,New Build,17,78175,13.776667,100.579444,-4
Condo,86500.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท  เซาท์อีสท์ ดีเวลล็อปเม้นท์ จํากัด โดย นายยู้ หว่า แซ่ลี,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Condo,3978.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท ทริปเปิ้ล เจ พร็อพเพอร์ตี้ จำกัด  โดย นางสาวจิลดา เจียวธนะกานนท์,New Build,17,78175,13.776667,100.579444,-5
Condo,8.30,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท รุ่งโรจน์ธนกุล จำกัด โดยนายชาติชาย รุ่งโรจน์ธนกุล,New Build,17,78175,13.776667,100.579444,-5
Condo,31877.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท สิริ สมาร์ท ทู จำกัด โดย นายอุทัย แสงสุข นางสาววรางคณา อัครสถาพร,New Build,17,78175,13.776667,100.579444,-4
Condo,22122.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท สิริพฒน์ ไนน์ จํากัด โดย นายอภิชาติ  จูตระกูล นายวันจักร์ บุรณศิริ,New Build,17,78175,13.776667,100.579444,-5
